link	id	titel	beschreibung	bild_url	produktart	preis	zustand	marke
http://fensterdichtungen.org/product_info.php?products_id=102	102	Verglasungsdichtung Salamander VGM 68580	Verglasungsdichtung mit einem hochwertigen Moosgummikopf  aus EPDM auf Naturkutschuk - Basis.     Oftmals läßt sich der Austausch der Verglasungsdichtungen  mit massiven Gummiprofilen nur mühsam durchführen. Eine Alternative  hierzu können Verglasungsdichtgen aus EPDM mit einem Moosgummikopf  sein.   Moosgummi bietet den entscheidenden Vorteil, dass es weich und  flexibel ist und so auch unter extremen Bedingungen eine sichere  und zuverlässige Abdichtung gewährleistet. Nur eine richtige Abdichtung  im Eckbereich des Verglasung, garantiert Ihnen eine sichere und zuverlässige  Funktion des Fensters.      Der Hochwertige Moosgummikopf aus EPDM auf Naturkautschuk-Basis hat  ausgezeichnete Schalldämmwerte.  Durch geschlossen-zelliges Moosgummi eine hohe Lebensdauer, sowie  hervorragende Alterungs-, Witterungs-,UV- und Ozonbeständigkeit.	http://fensterdichtungen.org/images/product_images/original_images/102_0.JPG	Kunststofffenster-Dichtungen TPE 	18.95	neu	
http://fensterdichtungen.org/product_info.php?products_id=101	101	Verglasungsdichtung KÃ¶mmerling VGM 10350	Verglasungsdichtung mit einem hochwertigen Moosgummikopf  aus EPDM auf Naturkutschuk - Basis.     Oftmals läßt sich der Austausch der Verglasungsdichtungen  mit massiven Gummiprofilen nur mühsam durchführen. Eine Alternative  hierzu können Verglasungsdichtgen aus EPDM mit einem Moosgummikopf  sein.   Moosgummi bietet den entscheidenden Vorteil, dass es weich und  flexibel ist und so auch unter extremen Bedingungen eine sichere  und zuverlässige Abdichtung gewährleistet. Nur eine richtige Abdichtung  im Eckbereich des Verglasung, garantiert Ihnen eine sichere und zuverlässige  Funktion des Fenster.      Der Hochwertige Moosgummikopf aus EPDM auf Naturkautschuk-Basis hat  ausgezeichnete Schalldämmwerte.  Durch geschlossen-zelliges Moosgummi eine hohe Lebensdauer, sowie  hervorragende Alterungs-, Witterungs-,UV- und Ozonbeständigkeit.	http://fensterdichtungen.org/images/product_images/original_images/101_0.jpg	Kunststofffenster-Dichtungen TPE 	18.95	neu	
http://fensterdichtungen.org/product_info.php?products_id=99	99	Verglasungsdichtung Veka VG 45530	Typische Einsatzgebiete von TPE Dichtungen:          hier Verglasungsdichtung Veka VG 45530            Fenster und Türen aus Kunststoff  -  äußere Dichtung             Materialeigenschaften:          gutes Rückstellvermögen            UV- und Witterungsbeständig      glatte Oberfläche      gute Schweißbarkeit            verträglich mit alle umweltfreundlichen Lacken, sowie wasserverdünnbaren Acrylat - Lacken             100 % recyclingfähig  	http://fensterdichtungen.org/images/product_images/original_images/99_0.JPG	Kunststofffenster-Dichtungen TPE 	18.95	neu	
http://fensterdichtungen.org/product_info.php?products_id=98	98	Holzfensterdichtungen TD 112	   Hoher Toleranzausgleich von 9,5 mm, speziell für verzogene Fenster und Türen,    variabel für 4 - 5 mm Nutbreite und 12 mm Falzhöhe geeignet!!!     Eigenschaften dieser Dichtung für Türen und Holzfenster  Material aus  TPE - thermoplastisches Elastomere:            gutes Rückstellvermögen, leichter Einbau             zum verschweißen und kleben geeignet            verträglich mit Kunstharz - und DD- Lacken.            temperaturbeständig - 40° Celsius bis + 180° Celsius            alterungs-, witterungs-, lichtriss- und ozonbeständig.             hohe Lebensdauer in Form und Funktion      für Außentüren mit günstigem Drehpunkt            Einbau in Türen und Fenstern mit 12 mm Falzhöhe und 4-5 mm Nutbreite            gewährleistet einen hohen Toleranzausgleich bei verzogenen Türen und Fenstern            weiches, angenehmes Schließverhaltennach DIN 18095 für Rauchschutztüren einsetzbar            Verarbeitung: klinken oder schweißen            Geprüft beim IFT Rosenheim Prüfbericht Nr. 102 38205 /1            Klassifizierung (EN 123651): W46243      Wirkungsbereich Wr = 4,5 mm      Bedienkraft (EN 13115:) Klasse 1      Luftdurchlässigkeit (EN 12207): Klasse 4 Schlagregendichtheit (EN 12208): Klasse 9A         	http://fensterdichtungen.org/images/product_images/original_images/98_0.JPG	Holzfenster-Dichtungen TPE 	15.95	neu	
http://fensterdichtungen.org/product_info.php?products_id=96	96	Holzfensterdichtungen TD 105	   Eigenschaften TPE - thermoplastisches Elastomere:            gutes Rückstellvermögen, leichter Einbau             zum verschweißen und kleben geeignet            verträglich mit Kunstharz - und DD- Lacken.            temperaturbeständig -45 Celsius bis + 65 Celsius            alterungs-, witterungs-, lichtriss- und ozonbeständig.             hohe Lebensdauer in Form und Funktion.  	http://fensterdichtungen.org/images/product_images/original_images/96_0.JPG	Holzfenster-Dichtungen TPE 	16.95	neu	
http://fensterdichtungen.org/product_info.php?products_id=94	94	Holzfensterdichtungen Micro - TPE 125 ( neu )	Die neue Generation von Dichtprofilen aus hochwertigem  TPE Schaum garantiert Ihrem Fenster systemzuverlässigen  Wärme- und Schallschutz.    Dichtprofle für europäische Fenster und Fenstertüren:  - aus hochwertigen Werkstoffen TPE (thermoplastisches Elastomer)    mit ausgezeichneten mechanischen Eigenschaften  - für optimale Dicht- und Dämmwerte    Funktionsbereich aus geschlossen zelligem Microschaum:  - für komfortablen Schließdruck  - für hohen Toleranzausgleich  - für gute Kälteelastizität    Der statische Bereich aus Kompaktmaterial:  - mit harter Beschichtung des Rückens    für leichten Einbau  - mit Überdehnschutz für perfekte,    stabile Eckverbindungen bei    geklinkter Rahmenkonfektion  - VarioSoft Dichtprofile lassen sich    wahlweise durch Klinken oder    Schweißen zu Rahmen konfektionieren  - mit Universalfuß für sicheren    Sitz in 5,0 mm-, 4,5 mm- und 4 mm Nut	http://fensterdichtungen.org/images/product_images/original_images/94_0.jpg	Holzfenster-Dichtungen TPE 	13.95	neu	
http://fensterdichtungen.org/product_info.php?products_id=93	93	Fensterdichtung 02 -  HR 7831	Typische Einsatzgebiete von TPE Dichtungen:          Fenster, Haustüren, Innentüren, Stahlzargen, Brüstungen            Holz, Holz - Alu. Kunststoff, Aluminium innen und außen       Materialvorteile:          gutes Rückstellvermögen            UV- und Witterungsbeständig      glatte Oberfläche      gute Schweißbarkeit            verträglich mit alle umweltfreundlichen Lacken, sowie wasserverdünnbaren Acrylat - Lacken             100 % recyclingfähig     	http://fensterdichtungen.org/images/product_images/original_images/93_0.JPG	Kunststofffenster-Dichtungen TPE 	21.95	neu	
http://fensterdichtungen.org/product_info.php?products_id=92	92	Fensterdichtung SchÃ¼co 02 -  HR 0167	Typische Einsatzgebiete von TPE Dichtungen:          Fenster, Haustüren, Innentüren, Stahlzargen, Brüstungen            Holz, Holz - Alu. Kunststoff, Aluminium innen und außen       Materialvorteile:          gutes Rückstellvermögen            UV- und Witterungsbeständig      glatte Oberfläche      gute Schweißbarkeit            verträglich mit alle umweltfreundlichen Lacken, sowie wasserverdünnbaren Acrylat - Lacken             100 % recyclingfähig     	http://fensterdichtungen.org/images/product_images/original_images/92_0.JPG	Kunststofffenster-Dichtungen TPE 	21.95	neu	
http://fensterdichtungen.org/product_info.php?products_id=91	91	Fensterdichtung SchÃ¼co 02 -  HR 9358	Typische Einsatzgebiete von TPE Dichtungen:          Fenster, Haustüren, Innentüren, Stahlzargen, Brüstungen            Holz, Holz - Alu. Kunststoff, Aluminium innen und außen       Materialvorteile:          gutes Rückstellvermögen            UV- und Witterungsbeständig      glatte Oberfläche      gute Schweißbarkeit            verträglich mit alle umweltfreundlichen Lacken, sowie wasserverdünnbaren Acrylat - Lacken             100 % recyclingfähig     	http://fensterdichtungen.org/images/product_images/original_images/91_0.JPG	Kunststofffenster-Dichtungen TPE 	21.95	neu	
http://fensterdichtungen.org/product_info.php?products_id=90	90	Fensterdichtung 02 -  HR 6831	Typische Einsatzgebiete von TPE Dichtungen:          Fenster, Haustüren, Innentüren, Stahlzargen, Brüstungen            Holz, Holz - Alu. Kunststoff, Aluminium innen und außen       Materialvorteile:          gutes Rückstellvermögen            UV- und Witterungsbeständig      glatte Oberfläche      gute Schweißbarkeit            verträglich mit alle umweltfreundlichen Lacken, sowie wasserverdünnbaren Acrylat - Lacken             100 % recyclingfähig     	http://fensterdichtungen.org/images/product_images/original_images/90_0.JPG	Kunststofffenster-Dichtungen TPE 	21.95	neu	
